cik,gvkey,coname,FFI,filing_date,virus_sc_R,virus_sent_wc_R,virus_kw_freq_R,virus_sc,virus_sent_wc,virus_kw_freq
1644675,26368,"Mimecast Ltd","Business Services",10feb2020,1.558203,1.805619,.0583448,17,588,19
1096752,133367,"EDGEWELL PERSONAL CARE Co","Construction Materials",10feb2020,0,0,0,0,0,0
355019,4826,"FONAR CORP","Healthcare",10feb2020,.5449591,.9992387,.0190331,2,105,2
797721,64088,"VIASAT INC","Electronic Equipment",10feb2020,0,0,0,0,0,0
1591588,19172,"A-Mark Precious Metals, Inc","Wholesale",10feb2020,.2711864,.3764799,.0099074,4,152,4
1757898,25313,"STERIS plc","Medical Equipment",10feb2020,.9463722,4.708998,.0345403,6,818,6
50471,116166,"PARK CITY GROUP INC","Business Services",10feb2020,0,0,0,0,0,0
724004,7275,"MESA LABORATORIES INC CO","Measuring and Control Equity",10feb2020,.4545455,.5104803,.0154691,2,66,2
1041514,65540,"NET 1 UEPS TECHNOLOGIES INC","Business Services",10feb2020,0,0,0,0,0,0
108312,11580,"Woodward, Inc","Electrical Equipment",10feb2020,.6925208,1.268526,.0555247,5,297,13
939930,3937,"PYXUS INTERNATIONAL, INC","Wholesale",10feb2020,1.256281,3.95353,.0540346,5,439,6
1177648,16269,"ENANTA PHARMACEUTICALS INC","Pharmaceutical Products",10feb2020,4.442037,5.326771,.1773178,41,1472,49
1626853,24937,"Majesco","Business Services",10feb2020,.4213483,.4446833,.0195465,3,91,4
887226,25676,"PERCEPTRON INC MI","Measuring and Control Equity",10feb2020,1.098901,1.120171,.1066829,5,147,14
808326,64637,"EMCORE CORP","Electronic Equipment",10feb2020,0,0,0,0,0,0
65011,7260,"MEREDITH CORP","Printing and Publishing",10feb2020,.8752735,2.013423,.0305064,4,264,4
65312,7295,"EVI INDUSTRIES, INC","Wholesale",10feb2020,0,0,0,0,0,0
820318,14561,"II-VI INC","Measuring and Control Equity",10feb2020,1.025641,.7805799,.0772002,4,91,9
1342287,166789,"General Finance CORP","Business Services",10feb2020,0,0,0,0,0,0
1387467,184604,"ALPHA & OMEGA SEMICONDUCTOR Ltd","Electronic Equipment",10feb2020,1.344538,1.504031,.0902418,8,250,15
1171155,162914,"RADIANT LOGISTICS, INC","Transportation",10feb2020,0,0,0,0,0,0
13573,2342,"BOWL AMERICA INC","Entertainment",11feb2020,0,0,0,0,0,0
1488917,185125,"Electromed, Inc","Medical Equipment",11feb2020,.729927,1.485269,.0243487,2,122,2
787253,13765,"NATURAL ALTERNATIVES INTERNATIONAL INC","Pharmaceutical Products",11feb2020,0,0,0,0,0,0
768408,12575,"CYANOTECH CORP","Pharmaceutical Products",11feb2020,0,0,0,0,0,0
924383,22373,"Genasys Inc","Recreational Products",11feb2020,.2518892,.1779711,.0098873,1,18,1
1039280,107446,"NETSOL TECHNOLOGIES INC","Business Services",12feb2020,.3610108,.2049036,.0141313,2,29,2
1477246,184259,"S&W Seed Co","Agriculture",12feb2020,.1360544,.1572627,.0047655,1,33,1
863894,22817,"VERU INC","Rubber and Plastic Products",12feb2020,3.218884,4.038517,.251509,15,562,35
356037,2573,"CSP INC MA","Computers",12feb2020,0,0,0,0,0,0
25895,3622,"CROWN CRAFTS INC","Textiles",12feb2020,1.948052,3.666921,.1241406,6,384,13
353184,1210,"AIR T INC","Transportation",13feb2020,0,0,0,0,0,0
874292,24428,"ADDVANTAGE TECHNOLOGIES GROUP INC","Wholesale",13feb2020,0,0,0,0,0,0
33533,4450,"ESPEY MFG & ELECTRONICS CORP","Electronic Equipment",13feb2020,.3676471,1.066302,.0136705,1,78,1
732026,10740,"TRIO-TECH INTERNATIONAL","Machinery",13feb2020,1.594896,2.732878,.0833194,10,492,15
1114925,138467,"LANTRONIX INC","Computers",13feb2020,.3508772,4.777366,.0463822,1,412,4
1474439,184101,"Telenav, Inc","Telecommunications",13feb2020,1.41129,1.67303,.0729269,21,780,34
1001907,61766,"ASTROTECH Corp","Measuring and Control Equity",14feb2020,0,0,0,0,0,0
825324,22543,"Good Times Restaurants Inc","Restaurants, Hotel, Mc'el",14feb2020,0,0,0,0,0,0
1413263,179624,"CHINA JO-JO DRUGSTORES, INC","Retail",14feb2020,1.761518,2.738249,.1401466,13,508,26
857949,21241,"China Green Agriculture, Inc","Chemicals",14feb2020,.1953125,.250181,.0065837,1,38,1
720154,65905,"BIOANALYTICAL SYSTEMS INC","Business Services",14feb2020,0,0,0,0,0,0
1438731,62582,"ALJ REGIONAL HOLDINGS INC","Business Services",14feb2020,1.54321,1.908284,.0628698,15,516,17
874710,24837,"ALLIED HEALTHCARE PRODUCTS INC","Medical Equipment",14feb2020,0,0,0,0,0,0
20629,2556,"CSS INDUSTRIES INC","Business Supplies",14feb2020,1.160542,1.731143,.0883236,6,294,15
39092,4903,"FRIEDMAN INDUSTRIES INC","Steel Works Etc",14feb2020,.4,1.684244,.0157406,1,107,1
858877,20779,"CISCO SYSTEMS, INC","Computers",18feb2020,1.198502,2.039968,.063749,16,736,23
90168,9698,"SIFCO INDUSTRIES INC","Aircraft",18feb2020,0,0,0,0,0,0
57131,6543,"LA-Z-BOY INC","Consumer Goods",18feb2020,.2232143,.8432888,.0078082,1,108,1
1681622,29004,"Varex Imaging Corp","Medical Equipment",18feb2020,1.989529,2.382211,.0880995,19,676,25
1002047,61591,"NetApp, Inc","Computers",18feb2020,2.080925,2.69032,.1057331,18,687,27
6281,1632,"ANALOG DEVICES INC","Electronic Equipment",19feb2020,3.030303,3.255506,.1564569,17,541,26
6951,1704,"APPLIED MATERIALS INC DE","Machinery",20feb2020,1.593137,3.047627,.1407274,13,693,32
746598,2352,"BRADY CORP","Miscellaneous",20feb2020,.3496504,.8208595,.0120715,1,68,1
883241,24975,"SYNOPSYS INC","Business Services",21feb2020,2.230971,3.168241,.1192862,17,664,25
896878,27928,"INTUIT INC","Business Services",24feb2020,1.28655,1.409688,.0460136,11,337,11
1067294,3570,"CRACKER BARREL OLD COUNTRY STORE, INC","Restaurants, Hotel, Mc'el",25feb2020,.248139,.3979678,.0084674,1,47,1
1327567,171067,"Palo Alto Networks Inc","Business Services",25feb2020,2.06379,2.809948,.0776229,22,905,25
794619,12379,"AMERICAN WOODMARK CORP","Construction Materials",26feb2020,2.121212,3.090059,.091482,7,304,9
935419,61418,"RCI HOSPITALITY HOLDINGS, INC","Restaurants, Hotel, Mc'el",27feb2020,0,0,0,0,0,0
900075,29901,"COPART INC","Wholesale",27feb2020,1.318945,1.613028,.0620396,11,416,16
91419,9777,"J M SMUCKER Co","Food",27feb2020,.1992032,.3807014,.0073212,1,52,1
315189,3835,"DEERE & CO","Machinery",27feb2020,.7393715,4.598495,.0759511,4,666,11
46619,5567,"HEICO CORP","Aircraft",27feb2020,.9345794,2.969155,.0576535,2,206,4
812128,13323,"SANDERSON FARMS INC","Food",27feb2020,3.987241,3.550202,.2600297,25,669,49
43920,5338,"GREIF, INC","Shipping Containers",28feb2020,1.630435,6.86011,.1038485,9,1123,17
915779,29705,"DAKTRONICS INC SD","Miscellaneous",28feb2020,.2272727,.2144153,.0247402,1,26,3
1613103,7228,"Medtronic plc","Medical Equipment",28feb2020,1.849837,2.069611,.0898204,17,553,24
1634117,23208,"Barnes & Noble Education, Inc","Retail",03mar2020,.5347593,.6114008,.0179824,3,102,3
904979,28518,"SHILOH INDUSTRIES INC","Fabricated Products",04mar2020,3.448276,3.4,.3363636,15,374,37
1687221,185952,"REV Group, Inc","Automobiles and Trucks",04mar2020,1.860465,3.374307,.1446132,8,420,18
14693,2435,"BROWN FORMAN CORP","Alcoholic Beverages",04mar2020,1.492537,1.874499,.1102646,6,187,11
23197,3358,"COMTECH TELECOMMUNICATIONS CORP DE","Electronic Equipment",04mar2020,2.006981,2.992484,.0645053,23,1067,23
16732,2663,"CAMPBELL SOUP CO","Food",04mar2020,1.880342,2.758289,.1650846,11,401,24
1368622,176362,"AeroVironment Inc","Aircraft",04mar2020,.8695652,1.099836,.0850702,5,181,14
737758,10618,"TORO CO","Machinery",05mar2020,1.697128,3.270404,.0794138,13,906,22
74046,8105,"Oil-Dri Corp of America","Construction Materials",05mar2020,3.856041,4.046678,.2917373,15,430,31
1528396,190455,"Guidewire Software, Inc","Business Services",05mar2020,1.231527,1.147366,.0615138,15,429,23
1600438,22583,"GMS Inc","Wholesale",05mar2020,.3816794,.3791469,.0364564,2,52,5
69891,24463,"NATIONAL BEVERAGE CORP","Candy and Soda",05mar2020,0,0,0,0,0,0
1092796,115757,"AMERICAN OUTDOOR BRANDS CORP","Defense",05mar2020,1.694915,5.76446,.0522261,8,883,8
65270,7291,"METHODE ELECTRONICS INC","Electronic Equipment",05mar2020,1.41129,1.886072,.1679902,7,247,22
103595,11178,"VILLAGE SUPER MARKET INC","Retail",05mar2020,3.225806,5.911206,.1760785,9,470,14
14177,2390,"BRIDGFORD FOODS CORP","Food",06mar2020,1.612903,1.383159,.0970638,5,114,8
107140,11499,"JOHN WILEY & SONS, INC","Printing and Publishing",06mar2020,.9596929,1.165875,.1117006,5,167,16
316253,4418,"ENZO BIOCHEM INC","Healthcare",06mar2020,.9433962,1.108033,.0519391,4,128,6
711404,3504,"COOPER COMPANIES, INC","Medical Equipment",06mar2020,2.676399,4.557475,.1939351,11,517,22
1423221,179819,"Quanex Building Products CORP","Construction Materials",06mar2020,1.735358,2.231002,.116198,8,288,15
19446,2942,"CANTEL MEDICAL CORP","Medical Equipment",06mar2020,1.173709,1.062708,.089235,5,131,11
29644,4036,"DONALDSON CO INC","Automobiles and Trucks",06mar2020,1.6,3.608096,.1466706,6,369,15
315374,5788,"HURCO COMPANIES INC","Measuring and Control Equity",06mar2020,.5649717,.5959721,.0411015,2,58,4
730263,10549,"THOR INDUSTRIES INC","Automobiles and Trucks",09mar2020,2.433628,5.474247,.1336898,11,778,19
726958,2807,"CASEYS GENERAL STORES INC","Retail",09mar2020,.8333333,4.808227,.069483,2,346,5
812011,64344,"VAIL RESORTS INC","Entertainment",09mar2020,.6633499,.7337314,.0556624,4,145,11
1498301,4072,"Ascena Retail Group, Inc","Retail",09mar2020,3.125,3.067746,.1886907,18,504,31
1645590,26156,"Hewlett Packard Enterprise Co","Computers",09mar2020,1.055807,2.46012,.0725088,7,475,14
1348911,29251,"KalVista Pharmaceuticals, Inc","Pharmaceutical Products",10mar2020,4.195804,4.428341,.2185415,12,385,19
1133470,147708,"CALAVO GROWERS INC","Wholesale",10mar2020,.6637168,1.080173,.0960154,3,135,12
56679,118267,"KORN FERRY","Business Services",11mar2020,1.232033,3.02565,.0802652,12,867,23
1236997,164746,"COUNTERPATH CORP","Business Services",11mar2020,.3395586,.19977,.0302682,2,33,5
936395,64356,"CIENA CORP","Electronic Equipment",11mar2020,4.655493,6.054768,.3646622,25,880,53
1020859,63927,"UNITED NATURAL FOODS INC","Wholesale",11mar2020,1.653944,1.313568,.0617665,13,319,15
1005731,62396,"IDT CORP","Telecommunications",11mar2020,1.157407,1.09369,.0764818,5,143,10
1342423,29962,"Limoneira CO","Agriculture",11mar2020,1.060606,1.576788,.0820633,7,269,14
914712,29621,"Steel Connect, Inc","Business Services",11mar2020,.6060606,.7586793,.042486,3,125,7
915358,29698,"SIGMATRON INTERNATIONAL INC","Electronic Equipment",12mar2020,1.748252,3.950178,.1067616,5,333,9
717720,11099,"VALUE LINE INC","Printing and Publishing",12mar2020,1.126126,1.36343,.0530223,5,180,7
909832,29028,"COSTCO WHOLESALE CORP NEW","Retail",12mar2020,.6097561,2.383167,.0232504,2,205,2
1341439,12142,"ORACLE CORP","Business Services",13mar2020,.5825243,.3242397,.0447227,3,58,8
55529,6410,"KEWAUNEE SCIENTIFIC CORP DE","Measuring and Control Equity",13mar2020,2.643172,2.985549,.1429252,6,188,9
723603,3647,"CULP INC","Textiles",13mar2020,6.288343,7.820405,.3952361,41,1484,75
39020,4900,"FREQUENCY ELECTRONICS INC","Measuring and Control Equity",16mar2020,0,0,0,0,0,0
771856,14983,"CHAMPIONS ONCOLOGY, INC","Pharmaceutical Products",16mar2020,2.517986,2.804487,.2136752,7,210,16
1048911,4598,"FEDEX CORP","Transportation",17mar2020,3.62776,4.02746,.3375286,23,704,59
40704,5071,"GENERAL MILLS INC","Food",18mar2020,1.318681,4.041928,.095291,6,509,12
866729,9466,"SCHOLASTIC CORP","Printing and Publishing",20mar2020,4.246284,5.864351,.2490926,20,824,35
1750,1004,"AAR CORP","Wholesale",25mar2020,3.857567,3.628463,.3041825,13,334,28
96536,10349,"TAYLOR DEVICES INC","Machinery",25mar2020,1.142857,1.135332,.0908265,2,50,4
723531,8402,"PAYCHEX INC","Business Services",27mar2020,3.571429,4.223909,.2892263,22,701,48
